Company Name,Symbol,Country,Sector,Industry
Charles Schwab Corporation (The),SCHW,United States,Finance,Investment Bankers/Brokers/Service
LMP Capital and Income Fund Inc.,SCD,United States,Finance,Trusts Except Educational Religious and Charitable
SilverBox Corp III Class A,SBXC,,Finance,Blank Checks
Sterling Bancorp Inc.,SBT,United States,Finance,Savings Institutions
Southside Bancshares Inc.,SBSI,United States,Finance,Major Banks
Western Asset Intermediate Muni Fund Inc,SBI,United States,Finance,Finance/Investors Services
SB Financial Group Inc.,SBFG,United States,Finance,Major Banks
Seacoast Banking Corporation of Florida,SBCF,United States,Finance,Major Banks
Sandy Spring Bancorp Inc.,SASR,United States,Finance,Major Banks
Saratoga Investment Corp New,SAR,United States,Finance,Investment Managers
Silvercrest Asset Management Group Inc. Class A,SAMG,United States,Finance,Investment Managers
Schultze Special Purpose Acquisition Corp. II Class A,SAMA,United States,Finance,Blank Checks
Salisbury Bancorp Inc.,SAL,United States,Finance,Savings Institutions
Sagaliam Acquisition Corp. Rights,SAGAR,United States,Finance,Blank Checks
Sagaliam Acquisition Corp. Class A,SAGA,United States,Finance,Blank Checks
Safety Insurance Group Inc.,SAFT,United States,Finance,Property-Casualty Insurers
Reinsurance Group of America Incorporated 5.75% Fixed-To-Floating Rate Subordinated Debentures due 2056,RZB,United States,Finance,Life Insurance
Ryan Specialty Holdings Inc. Class A,RYAN,United States,Finance,Specialty Insurers
Redwoods Acquisition Corp. Rights,RWODR,United States,Finance,Blank Checks
Redwoods Acquisition Corp.,RWOD,United States,Finance,Blank Checks
Royce Value Trust Inc.,RVT,United States,Finance,Trusts Except Educational Religious and Charitable
Riverview Bancorp Inc,RVSB,United States,Finance,Major Banks
Rigel Resource Acquisition Corp. Class A Ordinary Shares,RRAC,,Finance,Blank Checks
Cohen & Steers Quality Income Realty Fund Inc Common Shares,RQI,United States,Finance,Trusts Except Educational Religious and Charitable
Ross Acquisition Corp II Class A Ordinary Shares,ROSS,,Finance,Blank Checks
Rose Hill Acquisition Corporation Unit,ROSEU,United States,Finance,Blank Checks
Rose Hill Acquisition Corporation Class A Ordinary Shares,ROSE,United States,Finance,Blank Checks
Root Inc. Class A,ROOT,United States,Finance,Property-Casualty Insurers
Rollins Inc.,ROL,United States,Finance,Diversified Commercial Services
Roth CH Acquisition V Co.,ROCL,United States,Finance,Blank Checks
Renasant Corporation,RNST,United States,Finance,Major Banks
RenaissanceRe Holdings Ltd.,RNR,Bermuda,Finance,Property-Casualty Insurers
Cohen & Steers REIT and Preferred and Income Fund Inc. Common Shares,RNP,United States,Finance,Investment Managers
Royce Micro-Cap Trust Inc.,RMT,United States,Finance,Investment Managers
RMG Acquisition Corp. III Unit,RMGCU,United States,Finance,Blank Checks
RMG Acquisition Corp. III Class A Ordinary Shares,RMGC,United States,Finance,Blank Checks
RE/MAX Holdings Inc. Class A,RMAX,,Finance,Real Estate
Regional Management Corp.,RM,United States,Finance,Finance: Consumer Services
RLI Corp. (DE),RLI,United States,Finance,Property-Casualty Insurers
Rocket Companies Inc. Class A,RKT,United States,Finance,Finance: Consumer Services
Raymond James Financial Inc.,RJF,United States,Finance,Investment Bankers/Brokers/Service
Riot Platforms Inc. ,RIOT,United States,Finance,Finance: Consumer Services
B. Riley Financial Inc. Depositary Shares each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock,RILYP,United States,Finance,Investment Managers
B. Riley Financial Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock par value $0.0001,RILYL,United States,Finance,Investment Managers
B. Riley Financial Inc.,RILY,United States,Finance,Investment Managers
Reinsurance Group of America Incorporated,RGA,United States,Finance,Life Insurance
Rafael Holdings Inc. Class B,RFL,United States,Finance,Real Estate
Cohen & Steers Total Return Realty Fund Inc.,RFI,United States,Finance,Investment Managers
RF Acquisition Corp. Unit,RFACU,Singapore,Finance,Blank Checks
RF Acquisition Corp. Class A,RFAC,Singapore,Finance,Blank Checks
Regions Financial Corporation,RF,United States,Finance,Major Banks
Cartesian Growth Corporation II Class A Ordinary Shares,RENE,United States,Finance,Blank Checks
Reliance Global Group Inc.,RELI,United States,Finance,Specialty Insurers
Radian Group Inc.,RDN,United States,Finance,Property-Casualty Insurers
Redfin Corporation,RDFN,United States,Finance,Real Estate
PIMCO Strategic Income Fund Inc.,RCS,United States,Finance,Investment Managers
RENN Fund Inc,RCG,United States,Finance,Investment Managers
RCF Acquisition Corp. Class A Ordinary Shares,RCFA,,Finance,Blank Checks
Revelstone Capital Acquisition Corp. Unit,RCACU,United States,Finance,Blank Checks
Revelstone Capital Acquisition Corp. Class A,RCAC,United States,Finance,Blank Checks
Rhinebeck Bancorp Inc.,RBKB,United States,Finance,Major Banks
Republic Bancorp Inc. Class A,RBCAA,United States,Finance,Major Banks
RBB Bancorp,RBB,United States,Finance,Major Banks
Rand Capital Corporation,RAND,United States,Finance,Finance: Consumer Services
Qomolangma Acquisition Corp.,QOMO,United States,Finance,Blank Checks
Quantum FinTech Acquisition Corporation,QFTA,,Finance,Blank Checks
Quadro Acquisition One Corp. Class A Ordinary Shares,QDRO,United States,Finance,Blank Checks
QCR Holdings Inc.,QCRH,United States,Finance,Major Banks
PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,PZC,United States,Finance,Investment Managers
PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,PYN,United States,Finance,Investment Managers
P10 Inc. Class A,PX,United States,Finance,Investment Managers
PowerUp Acquisition Corp. Unit,PWUPU,United States,Finance,Blank Checks
PowerUp Acquisition Corp. Class A Ordinary Shares,PWUP,United States,Finance,Blank Checks
Perella Weinberg Partners Class A,PWP,United States,Finance,Finance: Consumer Services
Penns Woods Bancorp Inc.,PWOD,United States,Finance,Major Banks
Provident Bancorp Inc. (MD),PVBC,United States,Finance,Major Banks
Prudential Public Limited Company,PUK,United Kingdom,Finance,Life Insurance
Goal Acquisitions Corp.,PUCK,United States,Finance,Blank Checks
Pimco Corporate & Income Opportunity Fund,PTY,United States,Finance,Investment Managers
Pono Capital Two Inc. Class A,PTWO,United States,Finance,Blank Checks
Partners Bancorp,PTRS,United States,Finance,Major Banks
Portman Ridge Finance Corporation,PTMN,United States,Finance,Finance: Consumer Services
Pono Capital Three Inc. Class A Ordinary Shares,PTHR,United States,Finance,Blank Checks
Prospect Capital Corporation,PSEC,United States,Finance,Finance/Investors Services
Prudential Financial Inc.,PRU,United States,Finance,Life Insurance
Prospector Capital Corp. Unit,PRSRU,United States,Finance,Blank Checks
Prospector Capital Corp. Class A Ordinary Shares,PRSR,United States,Finance,Blank Checks
CC Neuberger Principal Holdings III Class A Ordinary Shares,PRPC,,Finance,Blank Checks
Provident Financial Holdings Inc.,PROV,United States,Finance,Savings Institutions
Pearl Holdings Acquisition Corp Unit,PRLHU,United States,Finance,Blank Checks
Pearl Holdings Acquisition Corp Class A Ordinary Shares,PRLH,United States,Finance,Blank Checks
Park National Corporation,PRK,United States,Finance,Major Banks
Primerica Inc.,PRI,United States,Finance,Life Insurance
PRA Group Inc.,PRAA,United States,Finance,Finance: Consumer Services
ProAssurance Corporation,PRA,United States,Finance,Property-Casualty Insurers
Papaya Growth Opportunity Corp. I Class A,PPYA,United States,Finance,Blank Checks
Putnam Premier Income Trust,PPT,United States,Finance,Finance Companies
PHP Ventures Acquisition Corp. Rights,PPHPR,Malaysia,Finance,Blank Checks
PHP Ventures Acquisition Corp. Class A,PPHP,Malaysia,Finance,Blank Checks
Pacific Premier Bancorp Inc,PPBI,United States,Finance,Major Banks
Southport Acquisition Corporation Class A,PORT,,Finance,Blank Checks
PennantPark Investment Corporation,PNNT,United States,Finance,Finance/Investors Services
Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest,PNI,United States,Finance,Trusts Except Educational Religious and Charitable
Pinnacle Financial Partners Inc. Depositary shares of Pinnacle Financial Partners Inc. each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series B,PNFPP,United States,Finance,Major Banks
Pinnacle Financial Partners Inc.,PNFP,United States,Finance,Major Banks
PIMCO New York Municipal Income Fund,PNF,United States,Finance,Finance Companies
PNC Financial Services Group Inc. (The),PNC,United States,Finance,Major Banks
Patriot National Bancorp Inc.,PNBK,United States,Finance,Major Banks
Prime Number Acquisition I Corp. Unit,PNACU,United States,Finance,Blank Checks
Prime Number Acquisition I Corp. Class A,PNAC,United States,Finance,Blank Checks
PIMCO Municipal Income Fund III Common Shares of Beneficial Interest,PMX,United States,Finance,Trusts Except Educational Religious and Charitable
CPI Card Group Inc.,PMTS,United States,Finance,Finance Companies
Putnam Municipal Opportunities Trust,PMO,United States,Finance,Finance Companies
Putnam Managed Municipal Income Trust,PMM,United States,Finance,Investment Managers
Pimco Municipal Income Fund II Common Shares of Beneficial Interest,PML,United States,Finance,Investment Managers
PIMCO Municipal Income Fund,PMF,United States,Finance,Finance/Investors Services
Plutonian Acquisition Corp.,PLTN,United States,Finance,Blank Checks
Palomar Holdings Inc.,PLMR,United States,Finance,Property-Casualty Insurers
Plum Acquisition Corp. I Class A Ordinary Share,PLMI,United States,Finance,Blank Checks
Plumas Bancorp,PLBC,United States,Finance,Finance Companies
Patria Latin American Opportunity Acquisition Corp. Unit,PLAOU,Cayman Islands,Finance,Blank Checks
Patria Latin American Opportunity Acquisition Corp. Class A Ordinary Shares,PLAO,Cayman Islands,Finance,Blank Checks
Parke Bancorp Inc.,PKBK,United States,Finance,Major Banks
PJT Partners Inc. Class A,PJT,United States,Finance,Investment Managers
Piper Sandler Companies,PIPR,United States,Finance,Investment Bankers/Brokers/Service
Putnam Master Intermediate Income Trust,PIM,United States,Finance,Finance Companies
Prime Impact Acquisition I Class A Ordinary Shares,PIAI,,Finance,Blank Checks
Pioneer High Income Fund Inc.,PHT,United States,Finance,Investment Managers
Pimco High Income Fund Pimco High Income Fund,PHK,United States,Finance,Finance/Investors Services
Pioneer Floating Rate Fund Inc.,PHD,United States,Finance,Investment Managers
Pagaya Technologies Ltd. Class A Ordinary Shares,PGY,Israel,Finance,Finance: Consumer Services
Progressive Corporation (The),PGR,United States,Finance,Property-Casualty Insurers
Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest,PGP,United States,Finance,Finance Companies
Peapack-Gladstone Financial Corporation,PGC,United States,Finance,Commercial Banks
PhenixFIN Corporation,PFX,United States,Finance,Finance: Consumer Services
Portage Fintech Acquisition Corporation Unit,PFTAU,United States,Finance,Blank Checks
Portage Fintech Acquisition Corporation Class A Ordinary Share,PFTA,United States,Finance,Blank Checks
PennyMac Financial Services Inc.,PFSI,United States,Finance,Finance: Consumer Services
Provident Financial Services Inc,PFS,United States,Finance,Savings Institutions
Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,PFO,United States,Finance,Finance Companies
PIMCO Income Strategy Fund II,PFN,United States,Finance,Finance/Investors Services
PennantPark Floating Rate Capital Ltd.,PFLT,United States,Finance,Finance: Consumer Services
PIMCO Income Strategy Fund Shares of Beneficial Interest,PFL,United States,Finance,Finance Companies
Peoples Financial Services Corp.,PFIS,United States,Finance,Major Banks
Principal Financial Group Inc,PFG,United States,Finance,Accident &Health Insurance
Flaherty & Crumrine Preferred and Income Fund Incorporated,PFD,United States,Finance,Investment Managers
Premier Financial Corp.,PFC,United States,Finance,Major Banks
Preferred Bank,PFBC,United States,Finance,Major Banks
PepperLime Health Acquisition Corporation Unit,PEPLU,United States,Finance,Blank Checks
PepperLime Health Acquisition Corporation Class A Ordinary Share,PEPL,United States,Finance,Blank Checks
Adams Natural Resources Fund Inc.,PEO,United States,Finance,Finance/Investors Services
Project Energy Reimagined Acquisition Corp. Class A Ordinary Share,PEGR,United States,Finance,Blank Checks
Peoples Bancorp Inc.,PEBO,United States,Finance,Major Banks
Peoples Bancorp of North Carolina Inc.,PEBK,United States,Finance,Major Banks
John Hancock Premium Dividend Fund,PDT,United States,Finance,Finance Companies
PIMCO California Municipal Income Fund,PCQ,United States,Finance,Investment Managers
Pimco Corporate & Income Strategy Fund,PCN,United States,Finance,Investment Managers
PCM Fund Inc.,PCM,United States,Finance,Trusts Except Educational Religious and Charitable
Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,PCK,United States,Finance,Trusts Except Educational Religious and Charitable
High Income Securities Fund,PCF,United States,Finance,Trusts Except Educational Religious and Charitable
Perception Capital Corp. II Class A Ordinary Shares,PCCT,United States,Finance,Blank Checks
PCB Bancorp,PCB,United States,Finance,Major Banks
Pathfinder Bancorp Inc. (MD),PBHC,United States,Finance,Major Banks
Pioneer Bancorp Inc.,PBFS,United States,Finance,Banks
PB Bankshares Inc.,PBBK,United States,Finance,Banks
Prosperity Bancshares Inc.,PB,United States,Finance,Major Banks
Patria Investments Limited Class A Common Shares,PAX,Cayman Islands,Finance,Investment Managers
Western Asset Investment Grade Income Fund Inc.,PAI,United States,Finance,Trusts Except Educational Religious and Charitable
PacWest Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of 7.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,PACWP,United States,Finance,Major Banks
PacWest Bancorp,PACW,United States,Finance,Major Banks
Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock,OZKAP,United States,Finance,Major Banks
Bank OZK,OZK,United States,Finance,Major Banks
Oxus Acquisition Corp. Class A Ordinary Shares,OXUS,Kazakhstan,Finance,Blank Checks
Oxford Square Capital Corp.,OXSQ,United States,Finance,Blank Checks
Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares,OXLCP,United States,Finance,Investment Managers
Oxford Lane Capital Corp. Preferred Stock Shares 6.00% Series 2029,OXLCO,United States,Finance,Investment Managers
Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,OXLCN,United States,Finance,Investment Managers
Oxford Lane Capital Corp. 6.75% Series 2024 Term Preferred Stock,OXLCM,United States,Finance,Investment Managers
Oxford Lane Capital Corp.,OXLC,United States,Finance,Investment Managers
Oxbridge Re Holdings Limited Warrant expiring 3/26/2024,OXBRW,Cayman Islands,Finance,Property-Casualty Insurers
Oxbridge Re Holdings Limited Ordinary Shares,OXBR,Cayman Islands,Finance,Property-Casualty Insurers
Blue Owl Capital Inc. Class A,OWL,United States,Finance,Investment Managers
Oak Valley Bancorp (CA),OVLY,United States,Finance,Major Banks
Ohio Valley Banc Corp.,OVBC,United States,Finance,Major Banks
OceanTech Acquisitions I Corp. Class A,OTEC,United States,Finance,Blank Checks
Osiris Acquisition Corp. Class A,OSI,,Finance,Blank Checks
Oscar Health Inc. Class A,OSCR,,Finance,Accident &Health Insurance
Old Second Bancorp Inc.,OSBC,United States,Finance,Major Banks
Orrstown Financial Services Inc,ORRF,United States,Finance,Major Banks
Old Republic International Corporation,ORI,United States,Finance,Property-Casualty Insurers
Oppenheimer Holdings Inc. Class A (DE),OPY,United States,Finance,Investment Bankers/Brokers/Service
Oportun Financial Corporation,OPRT,United States,Finance,Finance: Consumer Services
Old Point Financial Corporation,OPOF,United States,Finance,Major Banks
Office Properties Income Trust 6.375% Senior Notes due 2050,OPINL,United States,Finance,Real Estate
Office Properties Income Trust Common Shares of Beneficial Interest,OPI,United States,Finance,Real Estate
OptimumBank Holdings Inc.,OPHC,United States,Finance,Major Banks
Opendoor Technologies Inc,OPEN,United States,Finance,Real Estate
OP Bancorp,OPBK,United States,Finance,Major Banks
Offerpad Solutions Inc. Class A,OPAD,United States,Finance,Real Estate
Onyx Acquisition Co. I Class A Ordinary Shares,ONYX,United States,Finance,Blank Checks
Old National Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series A Preferred Stock,ONBPP,United States,Finance,Major Banks
Old National Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series C Preferred Stock,ONBPO,United States,Finance,Major Banks
Old National Bancorp,ONB,United States,Finance,Major Banks
OneMain Holdings Inc.,OMF,United States,Finance,Finance: Consumer Services
Olo Inc. Class A,OLO,United States,Finance,Major Banks
OmniLit Acquisition Corp. Class A,OLIT,United States,Finance,Blank Checks
Invesco Municipal Income Opportunities Trust,OIA,United States,Finance,Finance Companies
OPY Acquisition Corp. I Class A,OHAA,United States,Finance,Blank Checks
OFS Capital Corporation,OFS,United States,Finance,Finance/Investors Services
OFG Bancorp,OFG,Puerto Rico,Finance,Major Banks
Oconee Federal Financial Corp.,OFED,United States,Finance,Savings Institutions
Oaktree Specialty Lending Corporation,OCSL,United States,Finance,Finance: Consumer Services
Ocwen Financial Corporation NEW,OCN,United States,Finance,Finance: Consumer Services
OceanFirst Financial Corp. Depositary Shares,OCFCP,United States,Finance,Savings Institutions
OceanFirst Financial Corp.,OCFC,United States,Finance,Savings Institutions
OFS Credit Company Inc. 6.125% Series C Term Preferred Stock,OCCIO,United States,Finance,Trusts Except Educational Religious and Charitable
OFS Credit Company Inc. 5.25% Series E Term Preferred Stock Due 2026,OCCIN,United States,Finance,Trusts Except Educational Religious and Charitable
OFS Credit Company Inc.,OCCI,United States,Finance,Trusts Except Educational Religious and Charitable
OCA Acquisition Corp. Unit,OCAXU,United States,Finance,Blank Checks
OCA Acquisition Corp. Class A,OCAX,United States,Finance,Blank Checks
Orange County Bancorp Inc.,OBT,United States,Finance,Major Banks
Origin Bancorp Inc.,OBK,United States,Finance,Major Banks
Blue Owl Capital Corporation,OBDC,,Finance,Investment Managers
Oak Woods Acquisition Corporation Unit,OAKUU,Canada,Finance,Blank Checks
Oak Woods Acquisition Corporation Class A Ordinary Shares,OAKU,Canada,Finance,Blank Checks
Nuveen Municipal Credit Income Fund ,NZF,United States,Finance,Finance Companies
New York Community Bancorp Inc.,NYCB,United States,Finance,Banks
American Strategic Investment Co. Class A,NYC,,Finance,Real Estate
Nuveen Select Tax Free Income Portfolio,NXP,United States,Finance,Trusts Except Educational Religious and Charitable
Nuveen New York Select Tax-Free Income Portfolio,NXN,United States,Finance,Trusts Except Educational Religious and Charitable
Nuveen New Jersey Qualified Municipal Fund ,NXJ,United States,Finance,Finance/Investors Services
NexPoint Diversified Real Estate Trust,NXDT,,Finance,Investment Managers
Nuveen California Select Tax-Free Income Portfolio,NXC,United States,Finance,Investment Managers
National Western Life Group Inc. Class A,NWLI,United States,Finance,Life Insurance
Norwood Financial Corp.,NWFL,United States,Finance,Major Banks
Northwest Bancshares Inc.,NWBI,United States,Finance,Major Banks
Nuveen AMT-Free Municipal Credit Income Fund ,NVG,United States,Finance,Investment Managers
Nuveen Municipal Value Fund Inc.,NUV,United States,Finance,Trusts Except Educational Religious and Charitable
Nubia Brand International Corp. Unit,NUBIU,United States,Finance,Blank Checks
Nubia Brand International Corp. Class A,NUBI,United States,Finance,Blank Checks
Nu Holdings Ltd. Class A Ordinary Shares,NU,Cayman Islands,Finance,Finance: Consumer Services
Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock,NTRSO,United States,Finance,Major Banks
Northern Trust Corporation,NTRS,United States,Finance,Major Banks
Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares,NTB,Bermuda,Finance,Commercial Banks
NSTS Bancorp Inc.,NSTS,United States,Finance,Savings Institutions
Northern Star Investment Corp. IV Class A,NSTD,,Finance,Blank Checks
Northern Star Investment Corp. III Class A,NSTC,,Finance,Blank Checks
Northern Star Investment Corp. II Class A,NSTB,,Finance,Investment Bankers/Brokers/Service
Nuveen Senior Income Fund,NSL,United States,Finance,Trusts Except Educational Religious and Charitable
Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,NRO,United States,Finance,Finance/Investors Services
Nuveen New York AMT-Free Quality Municipal Income Fund ,NRK,United States,Finance,Trusts Except Educational Religious and Charitable
Northrim BanCorp Inc,NRIM,United States,Finance,Savings Institutions
Northern Revival Acquisition Corporation Class A Ordinary Share,NRAC,United States,Finance,Blank Checks
Nuveen Pennsylvania Quality Municipal Income Fund,NQP,United States,Finance,Trusts Except Educational Religious and Charitable
Nuveen Virginia Quality Municipal Income Fund,NPV,United States,Finance,Investment Managers
Nuveen Variable Rate Preferred & Income Fund Common Shares,NPFD,,Finance,Trusts Except Educational Religious and Charitable
New Providence Acquisition Corp. II Class A,NPAB,United States,Finance,Blank Checks
Nova Vision Acquisition Corp. Rights,NOVVR,Hong Kong,Finance,Blank Checks
Nova Vision Acquisition Corp. Ordinary share,NOVV,Hong Kong,Finance,Blank Checks
Nuveen Missouri Quality Municipal Income Fund ,NOM,United States,Finance,Investment Managers
NI Holdings Inc.,NODK,United States,Finance,Property-Casualty Insurers
