Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
York Water Company (The),YORW,United States,Utilities,Water Supply,1.4,1.32,0.08,0.08,0.08,4,0.74,-0.42,0.09,-10807000,0.384615385,0.5,0.615384615,0.508,0.307692308,0.307692308,0.9,Regular growth
Xcel Energy Inc.,XEL,United States,Utilities,Power Generation,3.2,2.97,0.07,0.06,0.06,4,1.57,-1.22,0.1,257000000,0.5,0.432539683,0.543478261,0.48,0.52173913,0.695652174,2.1,Regular growth
Essential Utilities Inc.,WTRG,United States,Utilities,Water Supply,1.8,1.52,0.06,0.21,0.08,4,1.15,-1.76,0.09,-84076000,0.692307692,0.619047619,0.5,0.448,0.153846154,0.692307692,0.6,Regular growth
Williams Companies Inc. (The),WMB,United States,Utilities,Natural Gas Distribution,1.7,1.03,0.35,1.96,0.35,4,1.79,-1.01,0.15,532000000,0.772727273,0.865079365,0.380952381,0.712,0.277777778,0.666666667,1.1,Outperformer
Waste Management Inc.,WM,United States,Utilities,Environmental Services,5.4,4.4,0.26,0.13,0.22,4,2.22,-1.04,0.33,590000000,0.416666667,0.555555556,0.5,0.664,0.333333333,0.916666667,2.3,Regular growth
Western Midstream Partners LP Common Units Representing Limited Partner Interests,WES,United States,Utilities,Natural Gas Distribution,3,2.12,0.38,0.32,0.38,4,2.46,1.32,0.39,192930000,0.5,0.682539683,0.428571429,0.728,0.944444444,0.777777778,3.8,Regular growth
WEC Energy Group Inc.,WEC,United States,Utilities,Power Generation,4.5,4.12,0.08,0.07,0.08,4,1.51,-5.17,0.12,128300000,0.586956522,0.472222222,0.630434783,0.508,0.304347826,0.608695652,3,Regular growth
Waste Connections Inc. Common Shares,WCN,Canada,Utilities,Environmental Services,3.2,2.13,0.37,0.59,0.37,4,0.94,-1.65,0.12,332753000,0.666666667,0.753968254,0.75,0.72,0.166666667,0.5,2.2,Regular growth
Eco Wave Power Global AB (publ) American Depositary Shares,WAVE,Israel,Utilities,Electric Utilities: Central,-0.5,-0.43,-0.24,-0.06,-0.2,4,0.15,0.16,-0.29,,0.371428571,0.285714286,0.228571429,0.216,0.542857143,0.028571429,-1.5,Regular growth
VivoPower International PLC Ordinary Shares,VVPR,United Kingdom,Utilities,Power Generation,-9.9,-8.47,0.07,-0.46,-0.29,4,8.65,3.06,-5.37,,0.086956522,0.150793651,0.543478261,0.48,0.826086957,1,-7.6,Underperformer
Vistra Corp.,VST,,Utilities,Electric Utilities: Central,-3.3,-1.55,-0.21,-1.19,-0.3,4,2.28,2.38,-0.25,1135000000,0.085714286,0.095238095,0.314285714,0.24,0.742857143,0.885714286,-1.1,Underperformer
Via Renewables Inc. Class A,VIA,United States,Utilities,Power Generation,-0.1,1.75,0.89,22.06,0.89,4,0.81,27.41,0.07,5792000,1,0.992063492,0.913043478,0.888,0.956521739,0.217391304,2.2,Outperformer
UNITIL Corporation,UTL,United States,Utilities,Power Generation,2.6,2.36,0.1,-0.03,0.09,4,1.35,-5.4,0.09,-19500000,0.304347826,0.321428571,0.695652174,0.544,0.217391304,0.47826087,1.3,Regular growth
USA Compression Partners LP Common Units Representing Limited Partner Interests,USAC,United States,Utilities,Natural Gas Distribution,-0.2,-2.41,0.53,-110.01,0.53,4,,,-0.26,50072000,0.045454545,0.007936508,0.571428571,0.776,,,,Underperformer
UGI Corporation,UGI,United States,Utilities,Natural Gas Distribution,-7.2,1.58,,0.72,0.72,5,1.63,-0.23,-0.25,177000000,0.636363636,0.781746032,,,0.5,0.555555556,,Regular growth
Targa Resources Inc.,TRGP,United States,Utilities,Natural Gas Distribution,3.9,-1.15,56.43,17.79,0.99,4,2.96,-2.42,0.24,-184400000,1,0.984126984,1,1,0.111111111,0.833333333,-0.2,Outperformer
Southwest Gas Holdings Inc. (DE),SWX,United States,Utilities,Oil & Gas Production,-3.1,1.48,-1.91,-0.68,-0.18,4,1.58,13.23,-0.06,-39607000,0.260416667,0.134920635,0.052083333,0.048,0.957894737,0.887640449,0.3,Regular growth
DBA Sempra,SRE,United States,Utilities,Oil/Gas Transmission,3.3,3.92,0.65,0.24,0.65,4,0.92,-5.49,0.07,-400000000,0.636363636,0.630952381,0.818181818,0.824,0.272727273,0.454545455,4,Regular growth
Spire Inc.,SR,United States,Utilities,Oil/Gas Transmission,3.9,4.25,-0.03,0.74,-0.03,4,1.59,-12.75,0.07,-143100000,0.909090909,0.80952381,0.272727273,0.364,0.181818182,0.727272727,2.1,Outperformer
Sonim Technologies Inc.,SONM,United States,Utilities,Telecommunications Equipment,-0.5,-3.68,0.88,0.59,0.53,4,0.01,0.32,-0.7,797000,0.76,0.753968254,0.905405405,0.88,0.346666667,0.106666667,-6,Regular growth
Southern Company (The),SO,United States,Utilities,Power Generation,3.3,2.82,0.44,-0.04,-0.23,4,1.76,-1.95,0.1,177000000,0.260869565,0.305555556,0.869565217,0.756,0.434782609,0.869565217,1.5,Regular growth
Summit Midstream Partners LP Common Units Representing Limited Partner Interests,SMLP,United States,Utilities,Natural Gas Distribution,-12.7,12.19,-0.93,-0.09,-0.93,4,1.98,-4.01,-0.16,-13795000,0.181818182,0.261904762,0.047619048,0.072,0.055555556,0.722222222,0.8,Regular growth
Stabilis Solutions Inc.,SLNG,United States,Utilities,Oil/Gas Transmission,-0.2,-0.34,0.62,0.16,-0.03,4,0.18,0.06,-0.05,-2293000,0.545454545,0.591269841,0.727272727,0.816,0.909090909,0.181818182,-3.7,Regular growth
SJW Group (DE),SJW,United States,Utilities,Water Supply,2.4,2.2,0.2,0.59,0.2,4,1.4,-2.48,0.07,-23493000,0.769230769,0.753968254,0.769230769,0.616,0.076923077,0.923076923,0.4,Regular growth
374Water Inc.,SCWO,United States,Utilities,Environmental Services,0,-0.02,-0.33,-15.58,-0.33,4,0,0.12,-0.57,-1867201,0.083333333,0.015873016,0.333333333,0.192,0.583333333,0.083333333,-0.4,Underperformer
Republic Services Inc.,RSG,United States,Utilities,Environmental Services,4.7,3.92,0.16,0.14,0.16,4,1.15,-5.36,0.15,584200000,0.5,0.575396825,0.416666667,0.592,0.083333333,0.75,1.5,Regular growth
RGC Resources Inc.,RGCO,United States,Utilities,Oil & Gas Production,,-0.33,-3.85,-1.3,-0.04,5,1.25,-0.61,0.11,151840,0.21875,0.087301587,0.03125,0.016,0.263157895,0.831460674,,Underperformer
Quest Resource Holding Corporation,QRHC,United States,Utilities,Environmental Services,-0.3,-0.06,-4.88,3.56,0.6,4,0.88,0.45,-0.09,-71644,0.916666667,0.936507937,0.166666667,0.008,0.75,0.333333333,-1.1,Outperformer
PPL Corporation,PPL,United States,Utilities,Electric Utilities: Central,1,0.33,1.53,-0.22,-0.19,4,1.06,-0.16,0.05,155000000,0.214285714,0.202380952,0.914285714,0.912,0.485714286,0.4,-0.6,Regular growth
Portland General Electric Co,POR,United States,Utilities,Electric Utilities: Central,2.6,2.35,-0.04,0.09,-0.04,4,1.24,0.87,0.08,-170000000,0.657142857,0.51984127,0.485714286,0.348,0.6,0.485714286,2,Regular growth
Pinnacle West Capital Corporation,PNW,United States,Utilities,Electric Utilities: Central,4.3,4.87,-0.22,-0.03,0.02,4,1.56,1.71,0.08,-48000,0.428571429,0.321428571,0.285714286,0.232,0.714285714,0.571428571,3.4,Regular growth
PNM Resources Inc. (Holding Co.),PNM,United States,Utilities,Electric Utilities: Central,2,2.13,-0.13,0.38,0.06,4,2.17,-11.53,0.08,-100767000,0.771428571,0.714285714,0.385714286,0.284,0.028571429,0.828571429,0.3,Outperformer
Pure Cycle Corporation,PCYO,United States,Utilities,Water Supply,,0.5,-0.52,0.72,0.72,4,0.06,0.97,0.04,-1123000,0.846153846,0.781746032,0.076923077,0.136,0.923076923,0.153846154,,Outperformer
PureCycle Technologies Inc.,PCT,United States,Utilities,Environmental Services,-0.5,-1.08,0.28,-2.92,0.28,4,4.42,-0.02,-0.17,67934000,0.25,0.071428571,0.583333333,0.68,0.5,1,-0.7,Underperformer
Pacific Gas & Electric Co.,PCG,United States,Utilities,Power Generation,0.8,-0.09,17.8,6.56,0.95,4,2.29,-0.9,0.08,-611000000,0.956521739,0.968253968,1,0.992,0.565217391,0.956521739,-1.1,Outperformer
Pampa Energia S.A. Pampa Energia S.A.,PAM,Argentina,Utilities,Electric Utilities: Central,8.2,2.23,0.74,0.27,0.74,4,0.59,0.65,0.2,-2518000000,0.742857143,0.650793651,0.828571429,0.832,0.571428571,0.171428571,6.3,Regular growth
Otter Tail Corporation,OTTR,United States,Utilities,Electric Utilities: Central,6.8,4.45,0.6,0.5,0.6,4,0.62,5.91,0.23,55665000,0.8,0.73015873,0.8,0.808,0.857142857,0.2,12.6,Outperformer
Ormat Technologies Inc.,ORA,United States,Utilities,Electric Utilities: Central,1.2,1.31,0.06,-0.1,-0.04,4,0.83,-0.4,0.03,-85787000,0.342857143,0.253968254,0.614285714,0.448,0.457142857,0.314285714,0.5,Regular growth
ONEOK Inc.,OKE,United States,Utilities,Oil & Gas Production,3.8,2.87,0.15,0.32,0.15,4,1.35,-0.18,0.27,522000000,0.510416667,0.682539683,0.151041667,0.576,0.378947368,0.842696629,2.2,Regular growth
ONE Gas Inc.,OGS,,Utilities,Oil/Gas Transmission,4.1,3.87,0.06,0.05,0.05,4,1.13,-18.17,0.09,-74325000,0.181818182,0.400793651,0.363636364,0.448,0.090909091,0.545454545,1.3,Regular growth
OGE Energy Corp,OGE,United States,Utilities,Electric Utilities: Central,3.3,2.04,-0.1,1.24,-0.1,4,1.09,-0.88,0.15,14500000,0.857142857,0.825396825,0.428571429,0.312,0.4,0.428571429,2,Outperformer
Northwest Natural Holding Company,NWN,United States,Utilities,Oil/Gas Transmission,2.4,2.49,-0.04,0.07,0.01,4,1.45,-2.26,0.07,-94235000,0.318181818,0.472222222,0.181818182,0.348,0.727272727,0.636363636,1.3,Regular growth
NorthWestern Corporation,NWE,United States,Utilities,Power Generation,3.2,3.3,-0.1,-0.05,-0.1,4,0.97,-3.26,0.07,-10951000,0.217391304,0.293650794,0.304347826,0.312,0.347826087,0.260869565,1.8,Regular growth
NETGEAR Inc.,NTGR,United States,Utilities,Telecommunications Equipment,-2.4,0.37,-2.5,-0.44,-0.16,4,0.06,16.35,-0.11,24048000,0.253333333,0.158730159,0.081081081,0.032,0.906666667,0.266666667,0.4,Regular growth
NRG Energy Inc.,NRG,United States,Utilities,Electric Utilities: Central,5.2,5.39,-0.42,0.67,-0.42,4,3.38,1.27,0.32,422000000,0.828571429,0.76984127,0.142857143,0.144,0.685714286,0.971428571,3.7,Outperformer
